Unnamed: 0,input,output,has_symptoms,allergens,labels
67,"I had my mirena removed on thursday, and that night had some hives, next day hives spread, trouble breathing, swollen tongue...had to go to urgent care. I have never had allergies to food or insects, could there a be relation to removal and allergic reaction?","Hello, Your symptoms definitely suggest severe allergic reaction and the possibility of the chemicals used during the process of removal of the IRENA causing the allergy has to be considered, since you cannot be allergic to the IUD which you had been carrying in your body for so long. A definite conclusion can be arrived at only after a thorough evaluation by an allergy specialist, and please make sure that you always avoid the allergen in the future. Also, inform those who live with you about the allergy and what causes it. Hope you find this information useful. Wish you good health.",1,insects,Insect
68,"my gf has been having issues with her skin most of her life she 20 years old and as a child she would get these rashes that covers her body..she says it happens a couple times a year which i find not normal...she also has acne and break out in rashes if shes overheating or her body temperature too high..she used to take doctor prescribed medince for the rash, but the was years ago...well now we dont have much money or insurance..and every rash cream we use dont work plus shes allergic to SPF in sunscreen she has rashes from that too what do she need a dermatologist?","Hi...dear user., Thanks for choosing Chat Doctor., Skin rash since childhood and associated with Acne., could be due to Hormonal hyperactivity..., She has having seasonal Allergy with Mast cell granulation..., hence she is getting frequently this problem..., Treatment is ...1) Avoid the triggers like...cold touch, Bitter fumes, Dust, etc.,2) Tab. Fexofenadine 180 mg for 30 days.... after 2 tabs weekly for 5 months...,3) Tab Dexamethasone 0.5 mg 2 tabs /day for 5 days., 1 tab /day for 5 days, 2 tabs / weekly for 4 weeks., weekly once for 6 months., ( Pulse therapy)4) Mast cell granulation.....by...using Sodium complicate, nedocromil., Follow this ...total remission will occur ok., bye",1,dust,Environmental
69,"thank you, Dr. i am 61 years old. quit smoking after abt 37 yrs.  suffering from chronic one side nasal block, sore throat, dirt and dust allergy, sleep deficit ,pl suggest remedy, i will be ever grateful . K.Kanmani Portko , chennai, tamilnadu, india. my mail id","HelloWelcome in Chat Doctor. Regarding your query for sore throat, one-sided nasal block and dust allergy, though you were smoker at the beginning but quit the habit at the age of 37, and now you are 61 years old. Your medical history favors for respiratory tract infection involving nose and sinus with throat. Here one thing is very important that you are having one side nasal obstruction which is very important from treatment point of view as one-sided nasal obstruction may be because of-1- Deviated nasal septum.2- After canal polyp.3- Turbinate hypertrophy. These above may be ruled out by clinical examination and all above may give rise ti recurrent nasal infection with post nasal Chat Doctor.  As you said that you are also having allergic symptoms, so I would like to say that in presence of infection allergic features always precipitates. So please consult your ENT doctor and get manage your problem. Regards.",1,dust,Environmental
70,"I just experienced a sudden swelling of jawline and puffing in front of left side of face, but none in the write. I just returned home from a holiday party where I had different foods - peanuts sauses, lobster sauce - which I have never had a problem with. In addition I had red wine, which I normally don t drink. Could this be an allergic reaction? I took a Benadril and it seems to have helped , but still feels strange, But swelling is going down.","Hi, Thank you for posting your question here, I will try to answer it to the best of my abilities. Yes, it does seem to be an allergic reaction. Sometimes the combination of food you eat can also cause the reaction. But anyhow I recommend you see a doctor and have them figure out what exactly you are allergic to. It is pretty dangerous to about life oblivious of your allergies. I hope this answered your question.",1,"peanuts, wine",Food
71,"i have controlled asthma , aspirin allergy and nasal polyps. This condition is longstanding. I also have a platelet function disorder. I cannot smell and feel chronically congested. I had polyp surgery more than 15 years ago but the polyps grew back immediately. I am scheduled for surgery in april. What can I do to prevent regrowth post surgery? Also I had a serious bleed after the first surgery. What are your suggestions?","With my experience to stop regrowth of polyps and bring back other symptoms to normal you have to find out which food you are allergic tons polyps recurrence is due to milk, wheatmpotato, rice egg nuts get blood serum tested for food specific antibodies for milk wheat and others as describedFoirst go for elimination diet then for desensitisationEven if you stop all milk and diary your medicines will be reduced and all symptoms will decrease and even asthma will subsided take anti allergic Montelukast and fexofenadine combination twice a days tossed 1/22 SF apply newsprint h eye ointment in nose but seawater Chat Doctor.",1,wheat,Food
72,"Hi, I am a first year graduate students and I have a huge qualifying exam in three days. For about a week, I have been experiencing periods where it feels like my throat is closing up and I am about to pass out. They normally last an hour, maybe two, but I don t actually have any trouble breathing or swallowing, it just feels like I do. I think I am just having panic attacks, most of my family struggles with and is medicated for various types of anxiety disorders. I guess I am just looking for some confirmation that this is most likely what is going on. The last time it happened I was drinking coffee, and this time I just ate some peanut m&ms s. The overactive brain inside me is convinced I m going into anaphylactic shock, but I ate peanut butter every day last week, and nothing happened, and I don t have any known food allergies, so I feel like that s pretty unlikely. Thank you","Dear serve understand your concerns went through your details. PANIC ATTACK a sudden overwhelming feeling of acute and disabling anxiety. Panic disorder is different from the normal fear and anxiety reactions to stressful events. Panic disorder is a serious condition that strikes without reason or warning. Symptoms of panic disorder include sudden attacks of fear and nervousness, as well as physical symptoms such as sweating and a racing heart. Panic attack always happens due to an underlying anxiety disorder. So you need to treat anxiety disorder. Anxiety disorder is treated with the help of counseling and psychotherapy. You should consult a psychologist. If you require more of my help in this aspect, please use this URL. http",1,peanut,Food
73,"I have been suffering from sneezing,running nose along with fever since my birth.I am now 19yrs old .I also have dust allergy.I have taken several medicines but the problem gets repeated after some days. Is there any permanent solution for this long term allergy?",Hello. Thank you for asking at Chat Doctor. I went through your history and would like to make following suggestions to you,1,dust,Environmental
74,"I had a 16 year old visiting who has a mushroom allergy, she ate a small amount of pizza containing small pieces of mushroom her reaction was a feeling of going numb starting at her feet progressing upward to her lips there were no hives or swelling of lips or tongue. Breathing remained regular and normal, I am an RN with E.R. experience and have never seen this kind of allergic response is it unusual?","Hi, Thanks for consulting Chat Doctor ! Allergic reaction to mushrooms is quite common and can present in various ways based on sensitivity. Best management strategy is to avoid taking them. Have to rush to the ER when presented with such symptoms. Hope I have answered your query. Let me know if you have any clarifications. If you like my answers and wish me to answer in the future, bring it to my attention",1,mushrooms,Food
75,hi i am 20 years old suffering from seasonal alergy......the cold air makes me breathless .....the stuffy nose always makes me panic....i also suffer from anxiety which i guess is contributing to the chest tightness am having......doctor prescribed odimont fx and predmet 16....i feel unsafe to go out...always fell safe to stay home.....last year i was diagonised with some dust and food allergy ...i feel okay in summer or spring but as fall occurs this symptoms occur...........help!!!!!!!!!!,"HI, Welcome to ChatDoctorYour history is seasonal allergy and breathlessness and stuffy nose, there is strong possibility of allergic rhinitis and Bronchial Asthma. Do not panic and worry as this is not a serious problem, and it can be treated sometime may not be permanently, but symptoms can always be controlled with proper medications. You are taking anti-allergic and anti-inflammatory(Predict) which should give you good relief in few days time, but take these medicines under medical supervision only. If breathlessness is more inhalation /nebulization therapy will be helpful. If a detail work is required by Complete Blood count, serum IGE level, Pulmonary Function test and if required allergy tests and ENT consultation may be required. Take care Good Luck",1,dust,Environmental
76,"Hey, Last night I was in the store and saw some bee pollen and it claimed it would help with allergies so I ingested a spoonful and I got a sore throat and runny nose about 30 minutes after and I woke up with a sore throat and congestion today and I feel like crap. Should I be concerned?","Hi, welcome to our site. I am Chat Doctor, MD. Read your query. That is a very significant question and I appreciate your problem. I will try my best to answer your queries, you need to be concerned. Bees, pollen and their related compounds (including honey) are potential allergens. Anyone susceptible to allergies can easily develop allergy to a known allergy. I am assuming you have allergies. Therefore, you tried that bee pollen. So there is a possibility that you are being allergic to the compound you ingested. You may try normal antiallergics. Better meet a doctor though hope this helps you. Inform the reports mentioned above/if any other, so I can be of help further. I have given you the answer to the maximum considering the information provided. The results of the tests could further enhance my answer to you. Please do understand that some details could be extracted from a detailed history and examination. Please feel free to ask another query. I would be glad to help you. Looking forward to your return query with the details asked so that I can help you further. (If the answer has helped you, please indicate this)Best of luck.",1,"bee, pollen",Environmental
77,"Hi, I am suffering from allergy since end of August.  The diagnosis is different from different doctor.  One said is chronic urticaria, another said is due to food allergy, another said is hormone changes and cause my immune system to attack when ever I had ate something which will cause allergy.  After observation, I notice that prawn, crab stick, shrimp paste will cause my allergy.  At the beginning, it only appear only on my back thigh.   The rashes will start with like mosquito bite and very itchy, and getting more and more after I scratch.  It will appear on the next or next two days after I ate the food which will cause my allergy.As advised by doctor, I had took a 10 day course of Aerius and Asthator.  The rashes came back 5 days after my course had ended.  Then, I took Loratadine for another 10 days.  Like previous, the rashes came back after 5 or 6 days after my course had ended.  I noticed that the allergy reaction and area affected become more serious each time I stopped.  Now, it even appear on my arms, waist, swollen on my lips, cheek, eye lids, neck.  My lips or eye lids will swollen 15-30 min later if I ate the food which will cause the allergy.Currently, I follow the advice from a doctor, not to completely stop eating food that will trigger the allergy to let my body to accept the food.  I will only take Loratadine if the rashes appear a lots.Pls advise what should I do to stop or cure this forever?","Hello, Thank you for asking at Chat Doctor. I went through your history and would like to make suggestions for you as follows",1,"crab, shrimp, mosquito, bite",Food
78,I have a rash all over my body. Biopsies say differential diagnosis includes pityriasis lichen oxides spectrum disorder  cells were necrotic keratinocytes Its not going awayWent to allergist. Not allergyIs there something my doctor can give me to get rid of thisCream and steroid were tried but cream is doing nothing. Steroids calmed it but when done it can back worst,"Hello, I can understand your concern for sudden occurrence of rashes all over the body. Rashes are quite common condition caused by bursting of allergy producing cells known as \""mast cells\"" due to certain aggravating factors present in the environment. As the chemical inside them is released it produces a rash which you have mentioned. There can be multiple factors producing this condition which are included in day to day life and sometimes it is really difficult to find one exact cause. In your case you are correlating it with exercises, hot climate, spicy food. So it is better to stay away from the offending factors. The long term effective treatment for this is by oral anti histamine like loratadine under medical advice. It is one of the Chat Doctor.  Do not scratch or rub the skin as it can lead to further aggravation. Take care.",1,climate,Environmental
79,"Is it possible to be allergic to one type of crab and not to the other types? After eating the meat inside the bodies of a dungeness or blue crab (not sure which one) my throat became itchy, had runny nose, few itchy red areas on my lower face, abdomen, one arm and leg (happened the second time eating this type of crab). But after eating snow crab legs I never had those reactions. Or could it also possibly be what was in the body of crabs?","Hi! Thank you for your question. Yes, I believe that both are possible scenarios. There may be specific proteins that are produced by the particular crab - not produced by the other crab - that act as allergens to you. And it may also be possible that there are also allergens inside the crab body that you are also reacting to. Whatever the case, what I would recommend is that you avoid the denseness or blue crab so that you will not trigger the allergic reaction again. Lastly, always be vigilant whenever you eat crab (or anything else) that triggers your allergies - some reactions may be mild, but a few can also be life-threatening so never hesitate to seek medical advice when this happens.  Thank you and take care!",1,crab,Food
80,"I just found a lump in my neck. I been getting pain from my ear down to my shoulder and now when I lift my arm, a vein pops up and it as a lump on it. Its sort of round and sits on the vein. Im 48, 5ft 1 and weigh between 69 & 71 kilo. I been getting headache for about 6 weeks or longer. Very tired and weak sometimes I have a sore throat and a runny nose, like I got a allergy. Sometimes when I get up to do something I start sweating.","Hi, dairy have gone through your question. I can understand your concern. You have sore throat, runny nose pain in ear, headache and lump in neck. All can be seen in upper respiratory tract infection. Your lump may be enlarged lymph node due to reactive hyperplasia of lymph node due to infection. You should take a course of antibiotics like azithromycin or levofloxacin. For runny nose and headache you can take Chat Doctor.  These all are prescription based medicine so consult your doctor and take treatment accordingly. If lump doesn't respond to treatment then biopsy diagnosis is advisable. Hope I have answered your question, if you have any doubts then contact me at bit.ly/",1,"dairy, azithromycin",Food
81,"Why am I having green stools for three weeks?? (Medical background) I ve been suffering with IBS-like symptoms my whole life, but have never gone to a gastroenterologist (for finacial reasons) and I was also recently diagnosed with NAFLD and I have been taking macrobid for 6 months. I have also recently noticed that I am getting chills. I also have noticed the new appearance of 2 tiny red dots (moles?) on my left breast. (Although my father has many red moles, so it may be nothing). I m a 20 year old female. 5 feet tall, around 98 lbs. I eat a relatively normal/healthy diet. I don t eat a lot of fast food or anything. I ve actually been eating a gluten free diet for months hoping for relief. I do know I have severe allergies and several food allergies as well, including peanuts, soy, shellfish, and who knows what else. I was referred by my GP to go to both a Gastrointerologist and and allergist, but I was hoping maybe you could give me some insight on what may be wrong in the mean time.","HiP lease be more clear on why are you continuously taking macro bid for 6 months?? Macro bid is used to treat Urinary tract infection for a maximum period of 7-10 days.  The green colored stools you are experiencing may be due to use of macro bid over a long period. It could be due to colitis caused by colostrum difficile. You need stop Caroline and take a course of pre-probiotics to improve intestinal flora. As far as NAFLD is concerned, you need to concentrate on losing weight, exercising and having a healthy diet rich in fruits and veggies",1,"gluten, peanuts, shellfish",Food
82,"Hi Doctor , My 2 year old son suffers from Allergy Rhinitis . The most common symptoms are chronic cough leading to throwing up and running nose . The first time we realised he had this was when he was 19 months . He was given medications like allegra , omnacortil . After 2 months of prolonged illness he was also given asthalin inhaler and budanase nasal spray since he was not getting any better . He has been experiecing the same symptoms since 6 weeks now . Allegra helps but temporarily . Can i start with the inhaler and nasalspray again ? Also what coudl be the side effects of these medications if continued for 2-3 months at a stretch ?","Hello, Your son has typical symptoms of allergic asthma and combination of bronchodilators (such as budesonide inhaler with spacer device), montelukast 4\u00a0mg, antihistamines and steroid nasal sprays (used for 6 weeks and stopped before restart after 3 months) is the standard management plan. As with all steroid usage, growth retardation is a recognized side effect but much lower than oral steroids as inhaled steroids are generally used to control airway inflammation along with montelukast. Skin prick testing is recommended to ensure common household allergens like cats and dog dander are not making the asthma worse when avoidance will be key. House dust mite allergy is also important to know as changing bedding or adding a layer of protection with dust-proof covers for mattress, pillows, duvets are important. Important to get rid of old soft toys as they accumulate dust very quickly. I hope that was useful.",1,"cats, dust mite, dust",Environmental
83,"I have had red bumps on my wrists for a couple of years, more on than off, though they fade. They were very itchy at first. Now I have red bumps on my inner thighs, between my breasts, and above and below my underarms and on my lower back and behind my knees. Most of them were itchy at first but not now, but they are still red. I have many allergies. I have a red rash across my nose at times but it fades quickly. I have wondered about ringworm, lupus, etc. I have tested negative for lyme and R.A. I will see a doctor but cant get in for a few more weeks. What kind of cream should I get? Should I take benadryl at night? Could my cats be to blame? Im a 53-year-old female. I have an artificial hip and fibromyalgia.","Hello, Thank you for posting on Chat Doctor. It seems you are suffering from Tina courts and corporal, a kind of fungal infection. I would suggest you to consult your dermatologist for proper management of the condition. I usually recommend proper course of oral antifungal Chat Doctor.  You can additionally use antifungal dusting powder containing ketoconazole during daytime and a soap containing ketoconazole for rinsing of affected areas. Take oral antihistamines for itching as required. Maintain hygiene over those areas and avoid wearing tight undergarments. Hope your queries are resolved and wish you best of health. Kindly spare some time to rate my answer and",1,cats,Pet
84,"I am 26yrs old, about 56 and weigh about 200. Im about 10 weeks pregnant and was stung in the neck by my ear by a bee. Ive been stung before when I was a child and had no allergic action then. I was at the zoo when it happened and the fellow at the nurses station said I appeared to be fine. Im still worried cause its two days later and the sting site is still swollen, red, tender, and itchy. Should I seek medical attn? Will my baby be okay?","Hi, Thanks for posting to Chat Doctor. It is unfortunate to note that you have been bitten by bee when you are pregnant. Also, from your description it appears that it has been only local allergic reaction. Since you are pregnant, avoid any other medication and kindly do the following.1. Wash the area of bite with water and using mild antiseptic like Salon every day twice daily. This will prevent the bite area getting infected.2. Remove the sting carefully if it is still present at the bite site. 3. Apply ice packs to reduce swelling. 4. Take Tablet. Paracetamol combination twice a day for 3 days after food. 5. Apply Calamine lotion at bite site. You should get better soon by doing this. Wish you speedy recovery.",1,bee,Insect
85,"Hi. I m 31years old. I have goose bumps like rash on my chest , shoulders, back, face, arms for the last 3 days.its itchy also. I had some chocolate cake on saturday in the evening I notice rash on my chest..on sunday I had some cake again after two hours my arms started itching I notice some more rash on my back, shoulders today even on my face..I never had any type of rash before..I would like to ask if I could be allergic to some kind of food?as it never happened to me before..and I havent got any contact with any plants as I was at home all weekend..","Hello, Welcome to Chat Doctor, You seem to be suffering from Acute urticaria. It is characterized by itchy red or skin colored raised wheals which is transient. The most common cause of acute urticaria is food. Seafood, meat, poultry, egg, milk, apples, brinjal, strawberry, coloring agents etc. are commonly implicated. It is subjective, and any food can cause it. Other common causes are medicines, infections, insect bites etc. In your case Cake is number one on the suspected trigger list. Avoid eating it. You may take antihistamine like Ben Chat Doctor. Hope this helped, Take care.",1,chocolate,Food
86,"Hi , I am allergic to dust , now recently from last 15 days its becoming more.Right from the time i wake up i will get cold and started sneezing still i am come to office and sit in AC , after sitting in AC for sometime the cold and sneezing will come down. May i know what exactly will be the reason and to whom i need to consult for the same. Please suggest on this. Regards Sreeni","Hello Seen, Thank you for asking at Chat Doctor. I went through your history and would like to make following suggestions to you",1,dust,Environmental
87,"My son had his appendix removed due to appendicitis and after that he developed a skin irritation and i was told that he could probably be allergic to iodine, but not he is worse and his skin has red bumps. What should I do. I just gave him Zyrtec for kids for allergies.","Cellophane You for contacting Chat Doctor. There are two possibilities. First, as you mentioned that it could be due to iodine allergy. Second, wound could have been infected. I would suggest you following",1,iodine,Contact
88,"Hi, doctor.I am from Salem,TN.I have allergic problem due to Non -veg. And also i have sun allergy.I took medicines before 1.5years. after no sun allergy affected. But now daily i  am getting itching problem.it will make so rashes in my body.so i often apply coconut oil.is it good?. When i get panic or get tension ,my body get very hot, and irritation.Severe irritation forms.I apply water.What to do this doctors?What are the foods have to avoid?pls tell me Doctor by the way Very Thanks","Hello Salem. Thank you for asking at Chat Doctor. I went through your history. I think you have food allergy related to non-veg diet and what we call \""solar urticaria\"". Talking about food allergy, it is very important to know your symptoms related to consumption of food. Usually they are immediate itching, rash, swelling after consumption of food. If it is so, I would suggest you to avoid the food you are allergic to for at least 6 months. Afterwards you can try to eat in small quantity to see whether you react. If you are not sure exactly to which non-veg food you are allergic to, I would suggest you to observe closely your diet and symptoms. Most common non-veg foods causing allergy are fish, shell fish, eggs, etc. Regarding sun allergy (solar urticaria), I would suggest you to take daily levocetirizine and montelukast for a month & use a good sunscreen lotion. Please protect your skin from direct exposure to sunlight. Vitamin A rich food like carrots, mango, green leafy vegetables will also help. Stress/tension can aggravate allergies, so I would recommend you daily relaxation and meditation. This will help you in a long run. Hope this will be useful to you. Wish you the best of the health. Regards.",1,"fish, eggs",Food
89,my son is dust allergic and he coughs in the evening when he sleeps. if his head position is kept little higher he stops coughing. at present he is taking montair plus kid one tablet every evening from last 1 and a half month and furaspray nasal spray. what to do doctor his cough is repetedly coming?,"Hi, As per your query, your child has symptoms of recurring cough which is due to upper respiratory tract infection leading to bronchitis/granular pharyngitis. Need not worry. Already he is taking so much of medication still not getting affected, I would suggest you do warm saline gargles and take steam twice a day. Avoid the use of sharp and spicy food substances. Avoid cold carbonated beverages. Your symptoms will resolve in 1 week. If symptoms keep on persisting you should consult Pediatrician once and take proper treatment. You should get an X-ray chest done along with pulmonary function tests. The doctor may prescribe antibiotics (amoxicillin or penicillin) along with decongestants. Hope I have answered your query. Let me know if I can assist you further.",1,dust,Environmental
90,"I am 33 years old. from the past 2 years i have been having trouble in breathing with wheezing sound, congestion, cough. The Dr prescribed Syansma, Cough syrup, anti allergy and Seroflo 250mg. However, it kept rebouncing with every change of season. From the last 6 months, i have been taking only seroflo rotacap without consulting the Dr (as i could not go). Simultaneously i have started Ayurvedic medicine also. I want to know if taking Seroflo is safe, what will be its side effects? Also, how can i get cured? Should i get my allergy test done? Please advice.","Hi welcome to Chat Doctor... Salmeterol rota cap you are using can be taken for bronchoconstriction, but you ate doing wrong thing by taking it without advise from any consultant... Here according to your history asthma has to be ruled out first.... For that spirometry done for pulmonary function test.... If asthma found source of allergen searched for by allergy test... Try to avoid exposure to dust, pollen, environmental pollution and smoking less.... If repeated attack you can be given maintenance inhaler of foretell and budesonide in low dose with regular monitoring of peak flow.... Cut the ginger into pieces then add it into boiling water, steep for few minute, cool it and then water can be Chat Doctor. .is good remedy. Consult pulmonologist for your proper resp examination...including auscultation Also. Take care...",1,"dust, pollen, pollution",Environmental
91,cause Sneezing very often  hi i often cause sneezing problem very now n then. sometimes its dust allergy bt evn if dust is not there i get sneeze quite a lot. i guess i have a very sensitive nose. it also makes my head feel very heavy. please tell me what to do?ThanksPrayas,"Hi,first let me tell you that an already congested nose is very much sensitive, even a small change in the smell of air can induce sneezing, so it is very important to treat a congested nose or running nose, go for total and differential count of white blood cells to rule out eosinophilic. You can take some anti-allergic like levocetrizine, montelukast, Milton orally. If your nose is congested then you can take nasal Chat Doctor.",1,dust,Environmental
92,"I had ERCP to remove stent 3 days ago. Yesterday afternoon I noticed small red pinprick rash on legs from ankle to thigh..not itchy. took children s claritin--1 tsp, as am higly allergic to almost everything. Rash does not itch, but places on chest and back have red circles where they places the sticky discs for monitors--alway get these from the sticky disks. i have only had this similar type rash on legs before when out in sun. Also, a little trouble breathing, but do not want to use inhaler or take more claritin. Maybe just anxiety?","Hi.dear Stevens., Thanks for choosing Chat Doctor., ERCP is.... Endoscopic retrograde cholangiopancreatography is a technique that combines the use of endoscopy and fluoroscopy to diagnose and treat certain problems of the biliary or pancreatic ductal systems. Through the endoscope, the physician can see the inside of the stomach and duodenum, and inject dyes into the ducts in the biliary tree and pancreas, so they can be seen on X-rays..., Here using dye contains IODINE, it will be allergic to few members..., So U got this., U consult good dermatologist, he can treat and follow up the case., So meanwhile use... Tab.ALLEGRA 180 mg daily..., Apply Clobetasol and gentamicin cream....than",1,iodine,Contact
93,"Hello Doc, first I must say that this is very novel idea and I really appreciate your time and efforts. Now to the problem - My wife is suffering from dust allergy or I think called dust rhinitis or something from last 15 yrs or something.....She sneezes around 30 times a day and constantly has runny nose.  She sometime also has Asthama problems. She has taken lots of allopathy and homeopathy tablets but to no solution. If you can suggest me some remedy or a good ENT doctor in Mumbai, I would be really grateful to you. Many Thanks.","Hello, Welcome to Chat Doctor, As you are wife has known allergic to dust, she should be very careful otherwise it may be dangerous to the life. I would suggest her to undergo absolute eosinophil count (AEC) which will be raised in the allergic condition. For the present symptoms you can give her Tab Monte LC which helps to control the symptoms, but it is temporary. She needs to avoid these dust allergens to protect herself from getting these allergy symptoms. I would suggest her to undergo skin prick test (SPT) to identify the type of dust causing these symptoms and can prevent herself from exposing to this dust. Otherwise, you can prefer immunotherapy either with subcutaneous immunotherapy (SUIT) or sublingual immunotherapy (SLIT). Thank you.",1,dust,Environmental
94,"I am newly allergic to both wheat and dairy and have many pre existing allergies. It seems that if I eat too much of anything right now, I am reacting to those things too. My reactions consist of redness and swelling of my face, mouth, and chest, itchiness, sometimes hives , sometimes wheaziness(I also have asthma ), lots of times diarhea, I have been using about 100 benedryl a month.what is going on? I have reacted to almonds, cashews, oranges, and avacadoes.","Basic allergy is wheat or miscall other things exaggerates the symptoms advise you to get blood serum tested for food specific antibodies for milk, wheat,nuts, rice,potato, eggGo for elimination diet Taking antiallergics is no answer this can be temporary control the Noor treatments of food allergies is Sublingual immunotherapywhich has been tried by many researchers have treated many patients of food allergies like this You take temporary antiallergics till you get result if you can post the results later I can guide you for SLIT THERAPY FOR FOOD ALLERGIES",1,"wheat, dairy",Food
95,"hello doctor.. im 26 F suffering from dust allergy from my childhood... symptoms are wheezing, running nose, itching eyes, cant go outside during summber.  yesterday i went on allergy test...i get this dust allergy ly in summer from feb tto may .  i wanted to know 1) will this allergy get cured permanently 2) will it affect to other parts of our body after consuming medicine prescribed from allergy center3) will it continuous to next generation also  plz reply doctor i wanted to get ride of this dust allergy","Hello, Thank you for asking at Chat Doctor. I went through your queries and would like to make suggestions for you as follows",1,dust,Environmental
96,I have the dust allergy and once I get the allergy sneezing starts and flow from nose and watery eyes starts once I go into the dust Then I take allerid-d tablets and after one hour I get the relief This is very much spoiling my carrier can I get the treatment and can I get a permanent relief,"Hello, Thank you for asking at Chat Doctor. I went through your history and would like to make suggestions for you as follows",1,dust,Environmental
97,i was bitten by a house dog on my leg yesturday.i went to de doc.and he gave me the initial treatment and send back to home.today i have developed allergic reaction and noticed some rashes(kind of little pimples) on my back and forhead.is this something i should worry about?,"Hello. Thanks for writing to Chat Doctor. I read and understand your question very well. I try my best to explain you. As you have dog bite on leg, and you should get an initial treatment. I suggest you to take anti rabies vaccine for this. Also do regular Chat Doctor.  I suggest taking Tab. Cetirizine for your allergic reaction. I advise you to consult a good surgeon for this and take full treatment for this. I hope my advice will help you a lot. Thanks and Regards.",1,bite,Insect
98,Abiout 6 weeks ago i got a rash on my body and within about 6 hrs it went all over my body i end up in ED and they told me i had an allergy but i cant find anything that it might be..now it comes and goes...the welts come on my tum and my back sometimes i get an itch also..i also can get an itch without welts...have you any ideas what it might be.thanks ..Monica,"Hi, Monica It seems that you may be having urticaria.acute urticaria. There are many cause. Irritation, allergy, insects,heat, cold,infection, Chat Doctor. . It may be without cause.idiopathic. A short course of steroids in tampering dose and anti histamines like fexofenadinewould be helpful. Apply calamine lotion to soothe the skin. Avoid soap bath. You might be alright. You may undergo for array of investigations, if no response. You consult dermatologist. I hope you got my answer. Thanks.",1,insects,Insect
99,i am suffering from allergic rhinitis and bronchitis from more than twnty years when i take medicine it is cured for a short period again starts in change of weather and due to dust and smoke etc .i have tried so many medicines but no permanent relief from this problem . symtoms are sneezing  running nose nose blocked,"Hi, Thanks for writing your query. After reading your post, I would like to advise that you should try to avoid trigger factors like dust, smoke, cold, etc. You may need medicine whenever you are exposed to the triggers. Taking antihistamine like Fexofenadine 120\u00a0mg along with Montelukast will help in controlling your symptoms. I would also suggest that you should get yourself clinically examined and investigated. I hope this is helpful to you. Thanks.",1,dust,Environmental
100,hi i have taken a acne like rash on face and back about 3 to 4 weeks ago i put sudcrem on seems to be going away now but i have now devloped a burning and tingling sensestion on my face even tho my face has no marks on it feels like an allergy taking benedryl 3times daily makes no difference,"Hi, Welcome to Chat Doctor.come have read your query in detail and can well understand your concern. Your symptoms could be due to photodermatitis. Skin allergy may be due to many things like chemicals, dyes, sunlight, insect bite, perfumes or may be idiopathic. Use a medicated gentle cleansing lotion on your skin. Wear cotton clothes. Avoid allergens like pets/ dust etc. Do not scrub this area and use detail cleansing lotion for face wash for next 1 week. Stop using Sucre on your face. You can take tab levocetrizine 5\u00a0mg twice daily. Apply clindamycin gel twice daily. Apply sunscreen every 3 hours in the daytime and avoid stepping out in the sun. Hope this helps. You can revert if you have any further query.",1,"insect bite, dust",Environmental
101,"Hi ive got 4 red lumps on inner thigh which surround a bruise, another lump above my knee at back and one on lower leg, since yesterday. The area feels like is burning rather than itching. Not sure what the cause it thinking it maybe an insect bite but ive been wearing trousers and im not allergic to bites. Any advice or suggestions would be appreciated.","Hello, Thanks for the query. It looks like insect bite, Another consideration can be recurrent furunculosis. Apply some antibiotic cream, oral antibiotics will also be a good choice.Don't worries its just a temporary condition, you will soon recover. Let me know if you have any other doubt. You can ask a direct question to me on this forum, following the below link.https",1,insect bite,Insect
102,"Hi, I have been suffering from giddiness since last one year; I am aged 37years and suffering form dust allergy for the last 12 years (get continuous sneezing followed by cough) and on medication for that. Trying several combinations like vitamin supplements and diet combinations to increase my stamina / resistance but no use; further I am feeling my present health condition is becoming still bad.Please advise.","Hi, first dust allergy is very common among people, almost 1 out of 2 people would have same problem like u BCU of dust. So only treatment is symptomatic and try to avoid allergen as far as possible. Second your giddiness since 1 year needs to be diagnosed by physician, but it has no relation with dust allergy. Take giddiness seriously and consult doctor although in 90% cases cause remains unknown.",1,dust,Environmental
103,"I have red spots on the roof of my mouth, started back by the throat.  Strep test negative and the MD thought it couldnt be allergies to a new kitten we just got, but probably viral.  I have had cats my whole life, the last one just passed away one year ago.  We got the new kitten and I had sneezing right when we got home for last two days, BUT my  4 year old daughter also woke with a runny nose/congestion on Monday too!  Trying to figure out whether the kitty goes back or it is a cold.  THANKS!","Hello, Thank you for asking at Chat Doctor. I went through your history and would like to make suggestions for you as follows",1,cats,Pet
104,"I was sitting in the front of the computer for 20 min and I felt this tingling in left part of my upper lip... within 5-7 min it was swollen like nearly bursting... swelling resolved within 15 hours. Today I woke up with my face swollen -eyes, right part of my face and lip. I eat healthy I am normally fit and my BMI is 26. I used to be asthmatic and I am still allergic to dust and animals but my usual allergic reaction was rush and upper airway wheeze. My question is -do you recognise these symptoms as some syndrome or maybe know some solution to treat this.","Hello. Thank you for asking at Chat Doctor. I went through your history and I would first think of \""Angioedema\"", which can be allergic & non-allergic. As you have had allergies, I would also think you are more prone to develop allergic angioedema. I would like to suggest you as follows",1,dust,Environmental
